type,sub,text
I,完美型,"理性自律、有原則、正直、有強烈的道德觀。
知道事情的輕重緩急，並有高遠的理想和目標。"
II,助人型,"誠懇、熱心、友善、體恤的。
總是為他人著想及給予幫助並不求回報。"
III,成就型,"自信、開朗積極、有魅力及強烈企圖心。
是良好的溝通者，知道如何將事情以大家可以接受的方式提出來。"
IV,藝術型,"浪漫、敏感、自覺的、有個性。
有創造力，能夠將自身經驗轉化為有價值的東西。"
V,智慧型,"好奇心強、敏銳、熱衷尋求知識、喜歡分析事物。
注重事物整體，對前後關聯能做良好連結並發現其真貌。"
VI,忠誠型,"親切、可愛、調皮、讓人心動。
信任對自己而言是與他人相處且持續永久關係的基礎，會對認同對象付出承諾和忠實。"
VII,快樂主義型,"快樂的、有朝氣、活力充沛、喜歡探索新鮮事物。
能深刻吸收各種經驗，對生活有信心，並感到歡樂及喜悅。"
VIII,領袖型,"第八型人格　領袖型
自主、勇敢的、行動取向、樂於接受挑戰。
能支持、保護及實現他人需要，並果斷指示方向，帶領大家。"
IX,和平型,"溫和、樂觀、心胸開放、情感穩定。
態度輕鬆、從容的面對自己和生活，且讓人感到舒服，是很好的調停者、安慰者及支持者。"
